DateTime,temp,hum,HeatIndex
2015/01/31 06:09:38,68.00,34.00,76.78
2015/01/31 06:19:39,71.60,33.00,76.52
2015/01/31 06:29:39,69.80,33.00,76.48
2015/01/31 06:39:40,69.80,33.00,76.48
2015/01/31 06:49:40,71.60,33.00,76.52
2015/01/31 06:59:41,69.80,33.00,76.48
2015/01/31 07:09:41,71.60,33.00,76.52
2015/01/31 07:19:42,69.80,33.00,76.48
2015/01/31 07:29:43,71.60,33.00,76.52
2015/01/31 07:39:43,71.60,33.00,76.52
2015/01/31 07:49:44,69.80,33.00,76.48
2015/01/31 07:59:44,71.60,33.00,76.52
2015/01/31 08:09:45,69.80,33.00,76.48
2015/01/31 08:19:45,71.60,33.00,76.52
2015/01/31 08:29:46,71.60,33.00,76.52
2015/01/31 08:39:46,69.80,33.00,76.48
2015/01/31 08:49:47,71.60,33.00,76.52
2015/01/31 08:59:47,68.00,34.00,76.78
2015/01/31 09:09:48,71.60,33.00,76.52
2015/01/31 09:19:48,71.60,33.00,76.52
2015/01/31 09:29:49,69.80,33.00,76.48
2015/01/31 09:39:49,71.60,33.00,76.52
2015/01/31 09:49:50,68.00,34.00,76.78
2015/01/31 09:59:50,71.60,33.00,76.52
2015/01/31 10:09:51,71.60,33.00,76.52
2015/01/31 10:19:51,69.80,33.00,76.48
2015/01/31 10:29:52,71.60,33.00,76.52
2015/01/31 10:39:52,68.00,34.00,76.78
2015/01/31 10:49:53,71.60,33.00,76.52
2015/01/31 10:59:53,69.80,33.00,76.48
2015/01/31 11:09:54,69.80,33.00,76.48
2015/01/31 11:19:54,71.60,33.00,76.52
2015/01/31 11:29:55,68.00,34.00,76.78
2015/01/31 11:39:55,71.60,33.00,76.52
2015/01/31 11:49:56,69.80,33.00,76.48
2015/01/31 11:59:56,69.80,33.00,76.48
2015/01/31 12:09:57,71.60,33.00,76.52
2015/01/31 12:19:57,69.80,33.00,76.48
2015/01/31 12:29:58,71.60,33.00,76.52
2015/01/31 12:39:58,68.00,34.00,76.78
2015/01/31 12:49:59,71.60,33.00,76.52
2015/01/31 12:59:59,71.60,33.00,76.52
2015/01/31 13:10:00,69.80,33.00,76.48
2015/01/31 13:20:00,71.60,33.00,76.52
2015/01/31 13:30:01,68.00,34.00,76.78
2015/01/31 13:40:01,71.60,33.00,76.52
2015/01/31 13:50:02,69.80,33.00,76.48
2015/01/31 14:00:02,69.80,33.00,76.48
2015/01/31 14:10:03,71.60,33.00,76.52
2015/01/31 14:20:03,68.00,34.00,76.78
2015/01/31 14:30:04,71.60,33.00,76.52
2015/01/31 14:40:04,69.80,33.00,76.48
2015/01/31 14:50:05,71.60,33.00,76.52
2015/01/31 15:00:05,71.60,33.00,76.52
2015/01/31 15:10:06,69.80,33.00,76.48
2015/01/31 15:20:06,71.60,33.00,76.52
2015/01/31 15:30:07,68.00,34.00,76.78
2015/01/31 15:40:07,71.60,33.00,76.52
2015/01/31 15:50:08,69.80,33.00,76.48
2015/01/31 16:00:08,69.80,33.00,76.48
2015/01/31 16:10:09,71.60,33.00,76.52
2015/01/31 16:20:09,68.00,34.00,76.78
2015/01/31 16:30:10,71.60,33.00,76.52
2015/01/31 16:40:10,69.80,33.00,76.48
2015/01/31 16:50:11,71.60,33.00,76.52
2015/01/31 17:00:11,71.60,33.00,76.52
